name,height,lat,lon
42880,3.0,27.25,-90.034
42881,3.0,27.554,-88.361
42882,3.0,27.339,-94.47
42883,3.0,26.515,-94.212
42884,3.0,27.893,-87.984
42885,3.0,28.249,-88.828
42886,3.0,28.17,-89.24
42887,48.2,28.191,-88.496
42888,48.2,28.893,-87.985
42889,48.2,28.394,-89.465
42890,48.2,27.625,-90.441
42891,48.2,28.163,-88.484
42892,48.2,27.599,-92.298
42893,48.2,27.146,-90.319
42894,48.2,28.77,-88.834
42895,48.2,28.273,-88.662
42896,48.2,28.919,-88.476
42897,48.2,27.355,-89.797
42898,48.2,27.026,-92.237
42899,48.2,26.066,-92.06
42900,48.2,28.36,-89.423
42901,48.2,27.22,-90.03
42902,48.2,28.619,-88.026
42903,48.2,26.312,-92.646
42904,48.2,28.085,-87.986
42905,48.2,26.726,-90.508
42906,48.2,19.633,-92.483
42907,48.2,27.465,-90.566
42908,48.2,26.909,-93.305
42909,48.2,28.201,-88.752
42910,48.2,27.847,-90.719
42911,48.2,27.464,-92.433
42912,48.2,27.233,-91.143
42913,48.2,28.509,-88.031
42914,48.2,26.806,-90.567
42915,48.2,28.01,-89.043
42916,48.2,28.445,-88.277
42917,48.2,27.359,-90.743
42918,48.2,27.691,-91.114
42919,48.2,28.26,-88.885
42920,48.2,26.865,-93.661
42921,48.2,28.354,-87.82
42922,48.2,26.449,-90.784
42923,48.2,27.747,-91.088
42924,48.2,27.69,-91.116
42925,48.2,28.301,-88.127
42926,48.2,26.201,-92.871
42927,48.2,28.418,-88.032
42928,48.2,28.309,-88.827
42929,48.2,26.949,-93.442
42930,48.2,26.906,-94.906
42931,48.2,27.601,-91.354
42932,48.2,27.562,-89.977
42933,48.2,27.333,-90.599
42934,48.2,28.367,-88.248
42935,48.2,28.235,-88.995
42936,48.2,27.24,-90.816
42937,48.2,28.784,-88.235
42938,48.2,28.257,-89.274
42939,48.2,28.859,-88.044
42940,48.2,28.986,-88.149
43010,48.2,10.051,-125.032
43412,48.2,16.026,-106.997
43413,48.2,10.842,-100.137
44001,48.2,38.7,-73.6
44003,48.2,40.8,-68.5
44004,5.0,38.484,-70.433
44005,5.0,43.201,-69.128
44006,5.0,36.3,-75.4
44007,5.0,43.525,-70.141
44008,5.0,40.504,-69.248
44009,5.0,38.461,-74.703
44010,5.0,36.9,-75.7
44011,5.0,41.098,-66.619
44012,5.0,38.8,-74.6
44013,5.0,42.346,-70.651
44014,5.0,36.611,-74.843
44015,5.0,37.5,-73.4
44017,5.0,40.694,-72.048
44018,5.0,42.119,-69.7
44019,5.0,36.4,-75.2
44020,5.0,41.439,-70.186
44021,2.0,43.762,-69.988
44022,3.5,40.883,-73.728
44023,3.5,37.5,-74.4
44024,4.0,42.327,-65.912
44025,5.0,40.251,-73.164
44026,5.0,36.0,-73.5
44027,5.0,44.287,-67.307
44028,5.0,41.4,-71.08
44029,4.0,42.523,-70.566
44030,4.0,43.181,-70.428
44031,4.0,43.57,-70.06
44032,4.0,43.716,-69.355
44033,4.0,44.055,-68.998
44034,4.0,44.106,-68.109
44035,4.0,44.89,-67.02
44036,4.0,45.2,-66.02
44037,4.0,43.491,-67.879
44038,4.0,43.633,-66.55
44039,3.5,41.138,-72.655
44040,3.5,40.956,-73.58
44041,3.0,37.211,-76.787
44042,3.0,38.033,-76.335
44043,3.0,39.152,-76.391
44044,3.0,38.389,-76.526
44052,3.0,37.236,-76.399
44053,3.0,37.244,-76.5
44054,3.0,38.883,-75.183
44055,3.0,39.122,-75.256
44056,3.0,36.2,-75.714
44057,3.0,39.54,-76.074
44058,3.0,37.567,-76.257
44059,3.0,36.846,-76.298
44060,3.5,41.263,-72.067
44061,2.0,38.788,-77.036
44062,3.0,38.556,-76.415
44063,3.0,38.963,-76.448
44064,3.0,36.998,-76.087
44065,5.0,40.369,-73.703
44066,5.0,39.568,-72.586
44067,2.74321,38.368,-76.996
44068,3.0,37.314,-77.191
44069,3.0,40.699,-73.087
44070,3.0,41.392,-71.004
44071,3.0,36.906,-75.691
44072,3.0,37.201,-76.266
44088,3.0,36.612,-74.838
44089,3.0,37.757,-75.334
44090,3.0,41.84,-70.329
44091,3.0,39.778,-73.769
44092,3.0,42.942,-70.632
44093,3.0,36.872,-75.492
44094,3.0,40.585,-73.106
44095,3.0,35.75,-75.33
44096,3.0,37.023,-75.809
44097,3.0,40.969,-71.127
44098,3.0,42.798,-70.168
44099,3.0,36.915,-75.72
44100,3.0,36.26,-75.594
44137,5.0,42.26,-62.0
44138,5.0,44.25,-53.63
44139,5.0,44.24,-57.1
44140,5.0,42.87,-51.47
44141,5.0,42.99,-57.96
44142,5.0,42.5,-64.033
44150,5.0,42.5,-64.02
44172,5.0,44.5,-63.408
44174,5.0,49.075,-60.822
44175,5.0,46.877,-62.0
44176,5.0,47.535,-64.527
44235,5.0,47.263,-57.341
44251,5.0,46.44,-53.39
44255,5.0,47.27,-57.34
44258,5.0,44.5,-63.4
44401,5.0,37.592,-50.03
44402,5.0,39.298,-70.659
45001,5.0,48.061,-87.793
45002,5.0,45.344,-86.411
45003,5.0,45.351,-82.84
45004,5.0,47.585,-86.585
45005,4.0,41.677,-82.398
45006,5.0,47.335,-89.793
45007,5.0,42.674,-87.026
