"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Absolute Orbit","Relative Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","Stack ID"
"S1A_IW_GRDH_1SDV_20170502T223431_20170502T223500_016409_01B2CD_0418","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16409","62","62","132","2017-05-02T22:35:00Z","2017-05-03T17:02:12Z","GRD_HD","2017-05-02T22:34:31Z","2017-05-02T22:35:00Z","41.7044","-69.7991","40.6256","-71.0787","41.0208","-68.1004","42.3686","-71.5317","42.7628","-68.4717","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T223431_20170502T223500_016409_01B2CD_0418.zip","935.70 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T222919_20170502T222943_016409_01B2CC_981F","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16409","62","62","69","2017-05-02T22:29:43Z","2017-05-03T11:14:16Z","GRD_HD","2017-05-02T22:29:19Z","2017-05-02T22:29:43Z","22.7849","-65.7782","21.8346","-66.8277","22.2551","-64.4256","23.3071","-67.1398","23.7246","-64.7113","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T222919_20170502T222943_016409_01B2CC_981F.zip","736.42 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T222854_20170502T222919_016409_01B2CC_9E5D","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16409","62","62","64","2017-05-02T22:29:19Z","2017-05-03T11:18:25Z","GRD_HD","2017-05-02T22:28:54Z","2017-05-02T22:29:19Z","21.2947","-65.4762","20.3244","-66.5099","20.7481","-64.1334","21.8345","-66.8276","22.255","-64.4261","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T222854_20170502T222919_016409_01B2CC_9E5D.zip","793.46 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T095742_20170502T095816_016401_01B28C_D1A7","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16401","54","54","530","2017-05-02T09:58:16Z","2017-05-03T14:24:55Z","GRD_HD","2017-05-02T09:57:42Z","2017-05-02T09:58:16Z","18.4929","-61.2958","19.2996","-59.9141","19.7242","-62.2682","17.2521","-60.3401","17.6813","-62.6654","NaN","Descending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T095742_20170502T095816_016401_01B28C_D1A7.zip","1.00 GB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T095713_20170502T095742_016401_01B28C_101E","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16401","54","54","524","2017-05-02T09:57:42Z","2017-05-03T14:26:24Z","GRD_HD","2017-05-02T09:57:13Z","2017-05-02T09:57:42Z","20.3919","-60.9128","21.0535","-59.5466","21.4743","-61.9285","19.2997","-59.9141","19.7243","-62.2684","NaN","Descending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T095713_20170502T095742_016401_01B28C_101E.zip","887.45 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T025438_20170502T025503_016397_01B266_FFA2","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16397","50","50","192","2017-05-02T02:55:03Z","2017-05-02T06:54:10Z","GRD_HD","2017-05-02T02:54:38Z","2017-05-02T02:55:03Z","59.6979","-138.6611","58.7243","-140.585","59.141","-136.218","60.2144","-141.1792","60.6361","-136.6169","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T025438_20170502T025503_016397_01B266_FFA2.zip","933.78 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T025413_20170502T025438_016397_01B266_C88F","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16397","50","50","187","2017-05-02T02:54:38Z","2017-05-02T06:51:31Z","GRD_HD","2017-05-02T02:54:13Z","2017-05-02T02:54:38Z","58.2061","-138.1494","57.2384","-139.9714","57.6491","-135.7829","58.7242","-140.5849","59.1408","-136.2196","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T025413_20170502T025438_016397_01B266_C88F.zip","829.93 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170502T025344_20170502T025413_016397_01B266_F6A3","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16397","50","50","182","2017-05-02T02:54:13Z","2017-05-02T06:49:03Z","GRD_HD","2017-05-02T02:53:44Z","2017-05-02T02:54:13Z","56.5952","-137.597","55.5103","-139.3027","55.9153","-135.3013","57.2384","-139.9714","57.6488","-135.7847","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170502T025344_20170502T025413_016397_01B266_F6A3.zip","874.95 MB","-1","0","0","-1","0"
"S1B_IW_GRDH_1SDV_20170502T015733_20170502T015758_005413_0097CF_BED0","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5413","137","137","108","2017-05-02T01:57:58Z","2017-05-09T15:06:16Z","GRD_HD","2017-05-02T01:57:33Z","2017-05-02T01:57:58Z","34.4398","-119.6053","33.4793","-120.7874","33.8808","-118.0926","34.9848","-121.1363","35.3842","-118.3923","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170502T015733_20170502T015758_005413_0097CF_BED0.zip","900.73 MB","-1","0","0","-1","0"
"S1B_IW_GRDH_1SDV_20170502T015704_20170502T015733_005413_0097CF_8B4A","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5413","137","137","102","2017-05-02T01:57:33Z","2017-05-17T15:59:25Z","GRD_HD","2017-05-02T01:57:04Z","2017-05-02T01:57:33Z","32.8133","-119.2555","31.7305","-120.3861","32.1344","-117.7449","33.4792","-120.7874","33.8805","-118.0936","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170502T015704_20170502T015733_005413_0097CF_8B4A.zip","814.57 MB","-1","0","0","-1","0"
"S1B_IW_GRDH_1SDV_20170501T030204_20170501T030233_005399_009762_29C4","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5399","123","123","191","2017-05-01T03:02:33Z","2017-05-01T06:52:04Z","GRD_HD","2017-05-01T03:02:04Z","2017-05-01T03:02:33Z","59.4351","-140.6291","58.3443","-142.4664","58.7573","-138.1667","60.072","-143.1851","60.4919","-138.6636","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20170501T030204_20170501T030233_005399_009762_29C4.zip","915.23 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170430T225051_20170430T225116_016380_01B1E4_7A67","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","16380","33","33","131","2017-04-30T22:51:16Z","2017-05-01T04:43:50Z","GRD_HD","2017-04-30T22:50:51Z","2017-04-30T22:51:16Z","41.2011","-73.7869","40.2394","-75.1148","40.6411","-72.106","41.7417","-75.4939","42.1422","-72.4154","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170430T225051_20170430T225116_016380_01B1E4_7A67.zip","993.71 MB","-1","0","0","-1","0"
