ecmwf_u_front,ecmwf_u_late,ecmwf_v_front,ecmwf_v_late,ndbc_wdir,ndbc_wspeed,sar,station,scending
2.747941162487507,3.01930906840537,-1.9171669500320483,3.5250437610791465,265,4.5,S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,44020,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,293,12.4,S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,buzm3,Ascending
4.245310500498596,4.5312159728049215,0.6983172692734918,0.4021425366960116,254,7.5,S1A_IW_GRDH_1SDV_20161221T223437_20161221T223506_014484_01781F_2D83,44013,Ascending
4.628133082061304,5.9583204066051385,1.7784839410266535,1.116446303500524,267,7.8,S1A_IW_GRDH_1SDV_20161221T223437_20161221T223506_014484_01781F_2D83,44020,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,266,8.3,S1A_IW_GRDH_1SDV_20161221T223437_20161221T223506_014484_01781F_2D83,buzm3,Ascending
3.7389186046340015,2.9950797910912783,4.2611250817496495,1.9287490627019928,35,9.0,S1A_IW_GRDH_1SDV_20170412T233536_20170412T233601_016118_01A9E5_F191,plsf1,Ascending
5.214481593062409,4.516678406416459,6.173194311183674,4.809919439172628,1,6.4,S1A_IW_GRDH_1SDV_20170412T233626_20170412T233651_016118_01A9E5_975A,42013,Ascending
6.246648806642875,5.546422692265517,5.63964424146689,2.290256456877448,358,7.2,S1A_IW_GRDH_1SDV_20170412T233626_20170412T233651_016118_01A9E5_975A,42022,Ascending
7.9257377245096805,6.527708423486375,-1.5142822035112111,0.426097845948604,224,1.9,S1A_IW_GRDH_1SDV_20170413T224216_20170413T224241_016132_01AA52_2EE8,44066,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,81,5.3,S1A_IW_GRDH_1SDV_20170414T232355_20170414T232420_016147_01AAC9_120B,sbio1,Ascending
4.005440655089053,3.0944198280790687,4.021571989223748,5.807331406235023,205,7.3,S1A_IW_GRDH_1SDV_20170416T230513_20170416T230538_016176_01ABB0_6C3F,41037,Ascending
