height,scending,wdir,wspeed,sigma_vh,sigma_vv
5.0,Ascending,63,4.7,-27.552308305549644,0.028226355
5.0,Ascending,92,3.0,-29.63409110521664,0.003650991
4.0,Ascending,41,9.3,-31.66836106627983,0.02507085
4.0,Ascending,59,7.6,-33.13914992820922,0.017710667
5.0,Ascending,31,11.8,-28.898963398624588,0.031426035
5.0,Ascending,35,6.4,-31.51824572564321,0.011427886
15.7,Ascending,89,8.6,-24.69584583302065,0.039055515
15.7,Ascending,324,1.8,-26.858154385669657,0.009823185
6.6,Ascending,124,5.1,-18.618087458118186,0.056473292
6.6,Ascending,354,1.3,-19.134431601594414,0.042677097
21.6,Ascending,302,2.8,-27.500686046284475,0.0075102034
24.8,Ascending,8,10.1,-26.22754959338705,0.045163292
24.8,Ascending,124,5.1,-32.616970722257726,0.0029033613
24.8,Ascending,193,9.7,-27.24201778449134,0.030675968
24.8,Ascending,203,10.4,-26.902924295934728,0.04071105
24.8,Ascending,234,11.6,-31.73646548969832,0.014528401
24.8,Ascending,250,4.7,-27.254232557505745,0.019657942
10.0,Ascending,287,3.3,-22.49160252187316,0.01961578
10.0,Ascending,338,2.6,-22.46632578501095,0.01804835
9.8,Ascending,213,4.8,-23.717954278274632,0.019667352
20.4,Ascending,235,6.3,-20.047357695675533,0.2230944
31.4,Ascending,0,0.0,-29.913501788228594,0.003647561
31.4,Ascending,135,0.1,-29.841645540792477,0.004025432
25.3,Ascending,45,14.4,-22.71329015905474,0.09271235
25.3,Ascending,232,9.0,-23.617459035858957,0.046095982
13.5,Ascending,179,3.6,-23.517887239923784,0.018209267
6.6,Ascending,46,7.6,-31.009788580183532,0.013621811
6.6,Ascending,212,1.1,-32.03496466990469,0.0023845858
22.0,Ascending,22,1.5,-29.421569022175014,0.0020556592
15.7,Ascending,80,4.5,-26.59213301722459,0.013600484
15.7,Ascending,336,0.9,-26.246750080484635,0.0080575645
43.9,Ascending,242,7.5,-32.28902840906791,0.009747253
19.2,Ascending,5,4.0,-25.10406675380224,0.008457359
19.2,Ascending,146,6.5,-27.245569340332516,0.005290048605525612
19.2,Ascending,319,13.4,-26.99044998353965,0.007273904640534468
7.0,Ascending,251,4.6,-29.122336566852148,0.011140652
22.9,Ascending,143,6.3,-28.03425201646673,0.007855418
22.9,Ascending,347,5.4,-30.015205062309477,0.0036869994
15.8,Ascending,227,3.4,-30.391400343224404,0.0046499437
15.9,Ascending,210,2.6,-19.361737249329547,0.038653817
9.4,Ascending,311,4.0,-19.5219530642667,0.061368946
9.4,Ascending,343,3.8,-19.50477628780442,0.057729565
6.6,Ascending,189,1.1,-29.570528536980632,0.0026607122
15.5,Ascending,257,10.3,-24.99439123372015,0.024988102
17.7,Ascending,97,9.3,-29.795877012140473,0.036152016
17.7,Ascending,107,5.9,-30.31003488657039,0.016264742
14.9,Ascending,56,4.3,-20.818127062513568,0.03556334
14.9,Ascending,123,9.3,-21.241588771257717,0.03521668
9.4,Ascending,3,8.6,-21.557668091084842,0.04607013
9.4,Ascending,176,3.9,-20.6011886975814,0.05002824
9.4,Ascending,359,13.6,-21.32687919572243,0.0499246
46.9,Ascending,37,14.4,-28.93285758254985,0.01783352
46.9,Ascending,254,9.4,-29.703045257162763,0.0070140986
46.9,Ascending,268,11.1,-26.56510056433051,0.047143117
7.6,Ascending,235,4.4,-19.24080975259972,0.05542607
21.0,Ascending,27,3.1,-24.09639256967636,0.023809666
21.0,Ascending,84,8.3,-22.157652416246577,0.089884005
21.0,Ascending,300,9.1,-24.15167282830612,0.01978248
35.1,Ascending,146,0.1,-26.320412582935223,0.002972766
35.1,Ascending,215,1.7,-26.453788997769642,0.0024931622
