sar,station,wdir,wspeed
S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213,42013,334,3.7
S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213,42022, 15,2.7
S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213,42099,999,99.0
S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213,venf1,308,4.4
S1A_IW_GRDH_1SDV_20170530T233539_20170530T233604_016818_01BF4E_C6B6,plsf1,107,5.9
S1B_IW_GRDH_1SDV_20170530T043719_20170530T043748_005823_00A34F_71EB,51002, 69,7.4
S1A_IW_GRDH_1SDV_20170530T003418_20170530T003443_016804_01BEDA_B961,ptat2, 56,4.3
S1A_IW_GRDH_1SDV_20170530T003353_20170530T003418_016804_01BEDA_7F64,42020, 24,2.0
S1A_IW_GRDH_1SDV_20170530T003353_20170530T003418_016804_01BEDA_7F64,42044, 92,0.6
S1A_IW_GRDH_1SDV_20170530T003353_20170530T003418_016804_01BEDA_7F64,42045,999,3.0
S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27,45006,248,7.7
S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27,45023,254,7.0
S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27,disw3,232,9.0
S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27,roam4,254,9.4
S1A_IW_GRDH_1SDV_20170529T225943_20170529T230008_016803_01BED2_8BF8,45012,171,4.9
S1A_IW_GRDH_1SDV_20170529T225803_20170529T225828_016803_01BED2_4D37,44058,147,3.9
S1A_IW_GRDH_1SDV_20170529T225803_20170529T225828_016803_01BED2_4D37,44064,999,6.5
S1A_IW_GRDH_1SDV_20170529T225803_20170529T225828_016803_01BED2_4D37,44072,121,6.6
S1A_IW_GRDH_1SDV_20170529T225734_20170529T225803_016803_01BED2_05BA,41025,203,4.8
S1A_IW_GRDH_1SDV_20170529T225734_20170529T225803_016803_01BED2_05BA,44014, 75,5.8
S1A_IW_GRDH_1SDV_20170529T044640_20170529T044709_016792_01BE81_2926,51003, 63,4.7
S1A_IW_GRDH_1SDV_20170528T235351_20170528T235416_016789_01BE6C_E9F7,dpia1,179,3.6
S1A_IW_GRDH_1SDV_20170528T235326_20170528T235351_016789_01BE6C_3F57,42012,204,5.7
S1A_IW_GRDH_1SDV_20170528T235326_20170528T235351_016789_01BE6C_3F57,42040,181,7.5
S1A_IW_GRDH_1SDV_20170528T055328_20170528T055403_016778_01BE13_316D,46071,999,99.0
S1B_IW_GRDH_1SDV_20170528T045559_20170528T045625_005794_00A280_F07C,51001, 36,6.9
S1B_IW_GRDH_1SDV_20170528T045534_20170528T045559_005794_00A280_C65C,51101, 35,6.4
S1B_IW_GRDH_1SDV_20170528T045415_20170528T045444_005794_00A280_FB83,51003, 92,3.0
S1A_IW_GRDH_1SDV_20170528T023742_20170528T023807_016776_01BE04_3125,ffia2, 22,1.5
S1B_IW_GRDH_1SDV_20170527T222612_20170527T222640_005790_00A262_A826,mism1,143,6.3
S1B_IW_GRDH_1SDV_20170526T232419_20170526T232448_005776_00A200_5BA7,45003,274,2.9
S1B_IW_GRDH_1SDV_20170526T232419_20170526T232448_005776_00A200_5BA7,45162, 64,2.2
S1B_IW_GRDH_1SDV_20170526T232419_20170526T232448_005776_00A200_5BA7,45175,334,3.0
S1A_IW_GRDH_1SDV_20170526T223501_20170526T223526_016759_01BD80_0095,44007,344,4.7
S1A_IW_GRDH_1SDV_20170526T223501_20170526T223526_016759_01BD80_0095,iosn3,  5,4.0
S1A_IW_GRDH_1SDV_20170526T223501_20170526T223526_016759_01BD80_0095,mism1,347,5.4
S1A_IW_GRDH_1SDV_20170526T223432_20170526T223501_016759_01BD80_8CF2,44013, 63,1.5
S1A_IW_GRDH_1SDV_20170526T223432_20170526T223501_016759_01BD80_8CF2,buzm3,250,4.7
S1A_IW_GRDH_1SDV_20170526T222855_20170526T222920_016759_01BD7F_85C4,41043,125,4.3
S1A_IW_GRDH_1SDV_20170526T163232_20170526T163257_016755_01BD5F_595F,51003, 88,4.2
S1A_IW_GRDH_1SDV_20170526T042323_20170526T042348_016748_01BD1F_C261,51000, 50,5.3
S1A_IW_GRDH_1SDV_20170526T042139_20170526T042208_016748_01BD1F_E52F,51004, 41,9.3
S1A_IW_GRDH_1SDV_20170526T025414_20170526T025439_016747_01BD16_3BBE,46083,999,5.7
S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E,46088,258,6.0
S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E,46121,999,3.8
S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E,sisw1,227,5.7
S1B_IW_GRDH_1SDV_20170526T020119_20170526T020144_005763_00A197_E54E,wpow1, 28,3.8
S1B_IW_GRDH_1SDV_20170526T015759_20170526T015824_005763_00A197_BB16,46215,999,99.0
S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11,46011,214,3.7
S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11,46025,205,4.0
S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11,46053,218,3.4
S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11,46054,200,1.7
S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11,46069,188,1.1
S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11,ptgc1,176,3.9
S1B_IW_GRDH_1SDV_20170526T015705_20170526T015734_005763_00A197_F34D,46047,251,3.3
S1B_IW_GRDH_1SDV_20170526T015705_20170526T015734_005763_00A197_F34D,46086,248,1.7
S1A_IW_GRDH_1SDV_20170525T232858_20170525T232923_016745_01BD07_0AC3,sauf1,235,4.4
S1A_IW_GRDH_1SDV_20170525T232833_20170525T232858_016745_01BD07_5490,41009,186,7.4
S1A_IW_GRDH_1SDV_20170525T232743_20170525T232808_016745_01BD07_0389,fwyf1,242,7.5
S1A_IW_GRDH_1SDV_20170525T232743_20170525T232808_016745_01BD07_0389,mlrf1,227,3.4
S1A_IW_GRDH_1SDV_20170525T232718_20170525T232743_016745_01BD07_5279,lonf1,251,4.6
S1B_IW_GRDH_1SDV_20170524T155934_20170524T160002_005742_00A0F0_5BB2,51004, 44,5.8
S1A_IW_GRDH_1SDV_20170524T043801_20170524T043830_016719_01BC36_D799,51002, 70,8.4
S1B_IW_GRDH_1SDV_20170524T021720_20170524T021742_005734_00A0BC_DF4F,46100,329,10.5
S1B_IW_GRDH_1SDV_20170524T021655_20170524T021720_005734_00A0BC_25B3,46050,360,9.2
S1B_IW_GRDH_1SDV_20170524T021630_20170524T021655_005734_00A0BC_0BC1,46015,  8,12.4
S1B_IW_GRDH_1SDV_20170524T021605_20170524T021630_005734_00A0BC_8F5B,46027,344,12.8
S1B_IW_GRDH_1SDV_20170524T021540_20170524T021605_005734_00A0BC_83DF,46022,350,6.1
S1B_IW_GRDH_1SDV_20170524T021515_20170524T021540_005734_00A0BC_4155,46014,350,1.3
S1B_IW_GRDH_1SDV_20170524T021450_20170524T021515_005734_00A0BC_1D11,46013,256,1.8
S1B_IW_GRDH_1SDV_20170523T225850_20170523T225919_005732_00A0AE_2142,45012, 80,2.2
S1A_IW_GRDH_1SDV_20170523T142335_20170523T142400_016710_01BBF3_CF1A,46014,158,6.6
S1A_IW_GRDH_1SDV_20170523T142310_20170523T142335_016710_01BBF3_9B3F,46022,  1,6.3
S1A_IW_GRDH_1SDV_20170523T142245_20170523T142310_016710_01BBF3_3F8D,46015,  5,11.5
S1A_IW_GRDH_1SDV_20170523T142245_20170523T142310_016710_01BBF3_3F8D,46027,344,5.4
S1A_IW_GRDH_1SDV_20170523T142220_20170523T142245_016710_01BBF3_FC94,46050,360,9.1
S1A_IW_GRDH_1SDV_20170523T142220_20170523T142245_016710_01BBF3_FC94,46097,348,8.5
S1A_IW_GRDH_1SDV_20170523T142220_20170523T142245_016710_01BBF3_FC94,nwpo3,351,8.1
S1A_IW_GRDH_1SDV_20170523T142151_20170523T142220_016710_01BBF3_829A,46029,347,9.6
S1A_IW_GRDH_1SDV_20170523T110938_20170523T111007_016708_01BBE5_2CA1,spgf1,179,4.8
S1B_IW_GRDH_1SDV_20170523T044558_20170523T044627_005721_00A05D_F959,51003, 33,8.7
S1B_IW_GRDH_1SDV_20170523T031848_20170523T031917_005720_00A055_CF85,46061,108,3.6
S1B_IW_GRDH_1SDV_20170523T031848_20170523T031917_005720_00A055_CF85,blia2,302,2.8
S1B_IW_GRDH_1SDV_20170523T031848_20170523T031917_005720_00A055_CF85,mrka2,210,2.6
S1A_IW_GRDH_1SDV_20170522T230810_20170522T230834_016701_01BBB0_7DE0,45012,254,5.7
S1A_IW_GRDH_1SDV_20170522T230745_20170522T230810_016701_01BBB0_670A,dbln6,235,6.3
S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17,44041, 32,1.9
S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17,44056,999,99.0
S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17,44064,999,6.1
S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17,44072,355,5.6
S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17,44100,999,99.0
S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D,41025,205,7.9
S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D,41063,211,7.3
S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D,clkn7,213,4.8
S1A_IW_GRDH_1SDV_20170522T230515_20170522T230540_016701_01BBB0_D697,41037,196,6.7
S1A_IW_GRDH_1SDV_20170522T230515_20170522T230540_016701_01BBB0_D697,41038,203,4.2
S1A_IW_GRDH_1SDV_20170522T230515_20170522T230540_016701_01BBB0_D697,41064,226,6.9
S1A_IW_GRDH_1SDV_20170522T230450_20170522T230515_016701_01BBB0_8C4E,41002,193,3.4
S1B_IW_GRDH_1SDV_20170522T161401_20170522T161430_005713_00A024_4EF8,51000, 73,7.2
S1B_IW_GRDH_1SDV_20170522T143005_20170522T143021_005712_00A01B_E51A,46015,  5,10.4
S1B_IW_GRDH_1SDV_20170522T142940_20170522T143005_005712_00A01B_E663,46050, 18,5.8
S1B_IW_GRDH_1SDV_20170522T142940_20170522T143005_005712_00A01B_E663,46097,353,5.4
S1B_IW_GRDH_1SDV_20170522T142940_20170522T143005_005712_00A01B_E663,nwpo3, 23,2.2
S1B_IW_GRDH_1SDV_20170522T142915_20170522T142940_005712_00A01B_6A5E,46029,346,8.5
S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD,46041,309,5.4
S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD,46099,343,4.2
S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD,46100,334,5.9
S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD,desw1,287,0.1
S1A_IW_GRDH_1SDV_20170522T045641_20170522T045706_016690_01BB57_CEEE,51001, 28,11.6
S1A_IW_GRDH_1SDV_20170522T045616_20170522T045641_016690_01BB57_6395,51101, 31,11.8
S1A_IW_GRDH_1SDV_20170522T045457_20170522T045526_016690_01BB57_36B9,51003, 51,6.1
S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C,46061,355,5.1
S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C,46076, 14,8.8
S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C,46081,259,5.3
S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C,pila2,189,1.1
S1B_IW_GRDH_1SDV_20170521T014854_20170521T014919_005690_009F7F_0EA7,46086,284,8.4
S1A_IW_GRDH_1SDV_20170520T232447_20170520T232511_016672_01BACC_C382,45003, 82,7.1
S1A_IW_GRDH_1SDV_20170520T232447_20170520T232511_016672_01BACC_C382,45162, 78,7.9
S1A_IW_GRDH_1SDV_20170520T232447_20170520T232511_016672_01BACC_C382,45163, 67,9.3
S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798,45005, 78,10.7
S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798,45165, 88,10.8
S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798,45169, 81,9.7
S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798,45176, 69,5.2
S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798,sbio1, 84,8.3
S1A_IW_GRDH_1SDV_20170520T232012_20170520T232037_016672_01BACC_C4C5,41009,121,5.9
S1A_IW_GRDH_1SDV_20170520T232012_20170520T232037_016672_01BACC_C4C5,41010, 96,4.2
S1A_IW_GRDH_1SDV_20170520T231947_20170520T232012_016672_01BACC_B164,spgf1,110,4.9
S1B_IW_GRDH_1SDV_20170520T163150_20170520T163215_005684_009F4F_7C84,51003, 60,3.9
S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A,46025,202,1.3
S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A,46047,300,6.5
S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A,46069,299,8.2
