height,scending,wdir,wspeed,sigma_vv,sigma_vh,incidence
35.1,Ascending,215,1.7,0.0024931622,0.0022626694,31.055002
17.1,Ascending,227,5.7,0.011869828,0.0009788977,38.89627
6.6,Ascending,110,4.9,0.01751044,0.0044014403,38.502018
9.1,Ascending,129,7.8,0.021017833,0.0068890424,38.353313
35.2,Ascending,244,9.5,0.009237021,0.0008770456,40.47761
35.2,Ascending,276,5.4,0.016959395,0.0013475273,30.649382
35.2,Ascending,349,5.0,0.0037566898,0.0014403763,30.654434
11.6,Ascending,308,4.4,0.036836598,0.007976829,42.632263
11.6,Ascending,318,4.3,0.034691963,0.007633421,42.636642
9.8,Ascending,28,3.8,0.023704598,0.0038583805,39.957336
5.0,Descending,223,6.4,0.011078388,0.0008922972,37.77306
5.0,Descending,225,5.5,0.0063134343,0.0006838751,38.898106
5.0,Descending,342,6.3,0.0038976874,0.0010861569,45.94976
5.0,Descending,318,6.6,0.018664213,0.0012668215,37.167095
4.0,Descending,323,7.6,0.013567136,0.0009272103,40.392746
4.0,Descending,158,6.6,0.02145451,0.0019840754,34.20986
4.0,Descending,338,10.1,0.012257141,0.00079601776,44.555885
4.0,Descending,5,10.4,0.0,0.0,32.60609
4.0,Descending,5,11.5,0.009500635,0.0007161695,42.793755
5.0,Descending,1,6.3,0.008024699,0.00090435945,39.01481
4.0,Descending,202,1.3,0.0012952532,0.0014275116,34.18149
5.0,Descending,330,4.2,0.01162624,0.0010817639,37.413155
5.0,Descending,344,5.4,0.007014467,0.0009453418,39.56423
5.0,Descending,346,8.5,0.018233018,0.0014987114,35.10977
5.0,Descending,347,9.6,0.008864151,0.0006858887,44.310738
5.0,Descending,309,5.4,0.017387232,0.0008580268,37.82692
5.0,Descending,300,6.5,0.031445872,0.0015350898,35.076878
4.0,Descending,18,5.8,0.023811933,0.0016308731,33.307625
4.0,Descending,360,9.1,0.008444588,0.00060237263,43.073795
4.0,Descending,222,3.6,0.0058295713,0.00077640207,39.36902
5.0,Descending,299,8.2,0.022481918,0.0009624359,40.641563
4.5,Descending,348,8.5,0.008224643,0.00082442415,42.1275
4.5,Descending,353,5.4,0.024218634,0.001812047,32.1375
4.5,Descending,343,4.2,0.010424856,0.0011658502,36.583046
4.5,Descending,334,5.9,0.013506514,0.00076919445,38.292698
5.0,Descending,73,7.2,0.04822963,0.0019534016,31.890831
5.0,Descending,60,3.9,0.0050841123,0.0003677907,43.124413
5.0,Descending,88,4.2,0.0047159903,0.00042475952,43.12793
4.0,Descending,44,5.8,0.009458972,0.0010581057,41.51818
24.8,Descending,226,9.7,0.013962994,0.0008219814,39.692314
31.4,Descending,287,0.1,0.009653284,0.0015614971,37.04469
22.9,Descending,158,9.1,0.03679283,0.0021508816,31.443409
9.4,Descending,23,2.2,0.080907114,0.013567633,30.816715
9.4,Descending,351,8.1,0.08931444,0.01317589,41.055523
9.4,Descending,1,11.5,0.0624597,0.009399527,43.789146
6.6,Descending,179,4.8,0.0151603855,0.0033211545,43.707222
