,ascending,ndbc,ndbc_dir,ndbc_height,ndbc_speed,sar_name
65,Ascending,42020,133,5.0,7.9,S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A
66,Ascending,42022,2,3.1,3.6,S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713
67,Ascending,42022,15,3.1,2.7,S1A_IW_GRDH_1SDV_20170530T233629_20170530T233654_016818_01BF4E_B213
68,Ascending,42036,8,5.0,4.9,S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4
69,Ascending,42040,181,4.0,7.5,S1A_IW_GRDH_1SDV_20170528T235326_20170528T235351_016789_01BE6C_3F57
70,Ascending,42044,124,3.4,6.2,S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A
71,Ascending,44007,344,5.0,4.7,S1A_IW_GRDH_1SDV_20170526T223501_20170526T223526_016759_01BD80_0095
72,Ascending,44013,20,5.0,8.0,S1A_IW_GRDH_1SDV_20170713T223435_20170713T223504_017459_01D2E6_A83B
73,Ascending,44013,63,5.0,1.5,S1A_IW_GRDH_1SDV_20170526T223432_20170526T223501_016759_01BD80_8CF2
74,Ascending,44013,151,5.0,6.3,S1A_IW_GRDH_1SDV_20170701T223434_20170701T223503_017284_01CD9C_8D22
75,Ascending,44013,184,5.0,10.4,S1A_IW_GRDH_1SDV_20170619T223433_20170619T223502_017109_01C857_EA93
76,Ascending,44014,197,5.0,5.7,S1A_IW_GRDH_1SDV_20170517T225734_20170517T225803_016628_01B96F_0ACB
77,Ascending,44025,197,5.0,10.8,S1A_IW_GRDH_1SDV_20170629T225030_20170629T225055_017255_01CCB2_7C93
78,Ascending,44041,32,3.0,1.9,S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17
79,Ascending,44058,147,3.0,3.9,S1A_IW_GRDH_1SDV_20170529T225803_20170529T225828_016803_01BED2_4D37
80,Ascending,44058,188,3.0,4.9,S1A_IW_GRDH_1SDV_20170517T225803_20170517T225828_016628_01B96F_03F1
81,Ascending,44065,96,5.0,7.4,S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68
82,Ascending,44065,198,5.0,12.4,S1A_IW_GRDH_1SDV_20170629T225030_20170629T225055_017255_01CCB2_7C93
83,Ascending,44065,209,5.0,4.7,S1A_IW_GRDH_1SDV_20170711T225030_20170711T225055_017430_01D200_45C1
84,Ascending,44066,90,5.0,6.6,S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68
85,Ascending,44066,192,5.0,8.4,S1A_IW_GRDH_1SDV_20170629T225030_20170629T225055_017255_01CCB2_7C93
86,Ascending,44066,198,5.0,3.8,S1A_IW_GRDH_1SDV_20170718T224221_20170718T224246_017532_01D51F_B909
87,Ascending,44066,209,5.0,5.6,S1A_IW_GRDH_1SDV_20170711T225030_20170711T225055_017430_01D200_45C1
88,Ascending,44066,234,5.0,5.1,S1A_IW_GRDH_1SDV_20170624T224220_20170624T224245_017182_01CA82_856D
89,Ascending,44066,235,5.0,3.0,S1A_IW_GRDH_1SDV_20170531T224218_20170531T224243_016832_01BFC0_971B
90,Ascending,44072,121,3.0,6.6,S1A_IW_GRDH_1SDV_20170529T225803_20170529T225828_016803_01BED2_4D37
91,Ascending,44072,240,3.0,4.5,S1A_IW_GRDH_1SDV_20170517T225803_20170517T225828_016628_01B96F_03F1
92,Ascending,44072,355,3.0,5.6,S1A_IW_GRDH_1SDV_20170522T230605_20170522T230630_016701_01BBB0_8D17
93,Ascending,45002,17,5.0,4.9,S1B_IW_GRDH_1SDV_20170519T233222_20170519T233247_005674_009F04_8CE2
94,Ascending,45003,82,5.0,7.1,S1A_IW_GRDH_1SDV_20170520T232447_20170520T232511_016672_01BACC_C382
